layer,pc1_explained_variance,pc2_explained_variance,pc3_explained_variance
0,0.7970765829086304,0.026958037167787552,0.017474550753831863
1,0.615964949131012,0.0717247873544693,0.0321512445807457
2,0.4377439022064209,0.11550293862819672,0.04323799908161163
3,0.3385152518749237,0.10189462453126907,0.04583463817834854
4,0.28325074911117554,0.09111645072698593,0.05247929319739342
5,0.29233720898628235,0.08227022737264633,0.05850519984960556
6,0.2590748071670532,0.09258612990379333,0.0581376887857914
7,0.24465253949165344,0.10141495615243912,0.0579255111515522
8,0.19593949615955353,0.09920675307512283,0.06259293854236603
9,0.20576849579811096,0.11400007456541061,0.06983596086502075
10,0.16778481006622314,0.10645291954278946,0.06659068167209625
11,0.11869329959154129,0.09136050194501877,0.06659773737192154
12,0.10640162229537964,0.08259156346321106,0.05924149230122566
13,0.1018589660525322,0.08284875750541687,0.0574895516037941
14,0.10311489552259445,0.08549835532903671,0.05878352001309395
15,0.10419631749391556,0.08412148058414459,0.056934669613838196
16,0.10564383864402771,0.08551883697509766,0.058672793209552765
17,0.10424819588661194,0.08549368381500244,0.05832546576857567
18,0.11042776703834534,0.08872544020414352,0.0614306777715683
19,0.11030316352844238,0.0818459764122963,0.05951126664876938
20,0.11058034002780914,0.07818977534770966,0.05808371305465698
21,0.10587473213672638,0.07670867443084717,0.057036977261304855
22,0.10660215467214584,0.0773153081536293,0.05848689004778862
23,0.10617265850305557,0.0778704583644867,0.05647299438714981
24,0.10903278738260269,0.08082251995801926,0.05770154669880867
25,0.11563804000616074,0.07993610948324203,0.0579405203461647
26,0.12277382612228394,0.08554048091173172,0.0590255968272686
27,0.12841592729091644,0.08825293928384781,0.05815127491950989
28,0.12963524460792542,0.09028607606887817,0.055850911885499954
29,0.1327405869960785,0.1002674326300621,0.05864840745925903
30,0.12988367676734924,0.10088682174682617,0.056062210351228714
31,0.12982279062271118,0.09561621397733688,0.05520714074373245
32,0.12544173002243042,0.09150252491235733,0.05441310629248619
33,0.13038480281829834,0.0866314172744751,0.05444835126399994
34,0.13205339014530182,0.08420161157846451,0.053314030170440674
35,0.13233500719070435,0.08031976968050003,0.055180929601192474
36,0.12440700083971024,0.08034318685531616,0.06336434930562973
37,0.11634404957294464,0.08496427536010742,0.0675097331404686
38,0.1139211654663086,0.08501004427671432,0.07082157582044601
39,0.16798992455005646,0.09744592756032944,0.0651014968752861
